Land use,Scenario,Direction,Gen,Rep,X,Y,Proportion,Male
LU,Hist,WE,2,3,228226,5134915,0.01763,0
LU,Hist,WE,2,3,223313,5133818,0,0
LU,Hist,WE,2,3,224139,5134699,0,0
LU,Hist,WE,2,3,228810,5122611,0.03065,1
LU,Hist,WE,2,3,223687,5134405,0,1
NLU,C45,WE,2,1,229334,5142821,0.04233,0
NLU,C45,WE,2,1,232450,5114635,0.1118,0
NLU,C45,WE,2,1,220329,5141740,0,0
NLU,C45,WE,2,1,213876,5132563,0,0
NLU,C45,WE,2,1,216338,5129689,0,0
NLU,C45,WE,2,1,215386,5129453,0,1
NLU,C45,WE,2,1,218090,5134254,0,1
NLU,C45,WE,2,1,237537,5115312,0.2252,1
NLU,C45,WE,2,1,217122,5123295,0,1
NLU,C45,WE,2,1,227610,5142535,0.003901,1
NLU,C45,WE,2,2,217512,5134195,0,0
NLU,C45,WE,2,2,235126,5148104,0.1715,0
NLU,C45,WE,2,2,230364,5126461,0.0653,0
NLU,C45,WE,2,2,216917,5125892,0,0
NLU,C45,WE,2,2,221074,5133114,0,0
NLU,C45,WE,2,2,224421,5141448,0,1
NLU,C45,WE,2,2,226237,5132132,0,1
NLU,C45,WE,2,2,216396,5137394,0,1
NLU,C45,WE,2,2,217084,5133395,0,1
NLU,C45,WE,2,2,240187,5130911,0.2843,1
NLU,C45,WE,2,3,227932,5148764,0.01108,0
NLU,C45,WE,2,3,227880,5128294,0.00992,0
NLU,C45,WE,2,3,216410,5137417,0,0
NLU,C45,WE,2,3,234221,5113627,0.1513,1
NLU,C45,WE,2,3,221361,5135813,0,1
NLU,C45,WE,2,3,227073,5138631,0,1
NLU,C45,WE,2,3,228032,5134823,0.01331,1
NLU,C45,WE,2,3,228316,5143376,0.01964,1
NLU,C85,WE,2,1,214832,5133537,0,0
NLU,C85,WE,2,1,214618,5132343,0,0
NLU,C85,WE,2,1,239421,5127148,0.2672,0
NLU,C85,WE,2,1,227638,5142956,0.004525,0
NLU,C85,WE,2,1,234180,5147600,0.1504,1
NLU,C85,WE,2,1,240557,5140691,0.2925,1
NLU,C85,WE,2,1,215817,5131317,0,1
NLU,C85,WE,2,1,220148,5141121,0,1
NLU,C85,WE,2,2,214897,5134482,0,0
NLU,C85,WE,2,2,229131,5125630,0.03781,0
NLU,C85,WE,2,2,221204,5133622,0,0
NLU,C85,WE,2,2,231463,5137465,0.0898,0
NLU,C85,WE,2,2,229954,5147028,0.05616,0
NLU,C85,WE,2,2,238225,5134165,0.2405,1
NLU,C85,WE,2,2,227362,5142631,0,1
NLU,C85,WE,2,2,241546,5126230,0.3146,1
NLU,C85,WE,2,3,222040,5143460,0,0
NLU,C85,WE,2,3,229752,5124994,0.05165,0
NLU,C85,WE,2,3,228573,5127976,0.02537,0
NLU,C85,WE,2,3,221882,5135309,0,0
NLU,C85,WE,2,3,227360,5143960,0,0
NLU,C85,WE,2,3,234328,5113061,0.1537,1
NLU,C85,WE,2,3,226882,5138435,0,1
NLU,C85,WE,2,3,221697,5135578,0,1
NLU,C85,WE,2,3,237805,5146650,0.2312,1
NLU,Hist,WE,2,1,240397,5134953,0.289,0
NLU,Hist,WE,2,1,216120,5129341,0,0
NLU,Hist,WE,2,1,217824,5134011,0,0
NLU,Hist,WE,2,1,227351,5120786,0,1
NLU,Hist,WE,2,1,231871,5127662,0.09889,1
NLU,Hist,WE,2,1,226342,5138714,0,1
NLU,Hist,WE,2,1,215109,5131653,0,1
NLU,Hist,WE,2,1,240328,5137831,0.2874,1
NLU,Hist,WE,2,1,217986,5128233,0,1
NLU,Hist,WE,2,2,214201,5133788,0,0
NLU,Hist,WE,2,2,237713,5139968,0.2291,1
NLU,Hist,WE,2,2,240904,5125383,0.3003,1
NLU,Hist,WE,2,2,227294,5133864,0,1
NLU,Hist,WE,2,2,231106,5127217,0.08184,1
NLU,Hist,WE,2,2,227108,5139120,0,1
NLU,Hist,WE,2,2,220994,5136783,0,1
NLU,Hist,WE,2,3,230722,5126290,0.07328,0
NLU,Hist,WE,2,3,216260,5129533,0,0
NLU,Hist,WE,2,3,228266,5127924,0.01853,0
NLU,Hist,WE,2,3,221055,5140209,0,1
LU,C45,EW,3,1,272564,5128603,0,0
LU,C45,EW,3,1,269367,5122960,0.06521,0
LU,C45,EW,3,1,271162,5131928,0.02519,0
LU,C45,EW,3,1,270467,5128270,0.04068,0
LU,C45,EW,3,1,280355,5114450,0,0
LU,C45,EW,3,1,269662,5142237,0.05863,1
LU,C45,EW,3,1,275794,5143762,0,1
LU,C45,EW,3,2,261831,5118773,0.2332,0
LU,C45,EW,3,2,273667,5120054,0,0
LU,C45,EW,3,2,269162,5137314,0.06978,0
LU,C45,EW,3,2,273526,5139843,0,1
LU,C45,EW,3,2,279079,5132489,0,1
LU,C45,EW,3,2,271101,5145825,0.02655,1
LU,C45,EW,3,2,284232,5128468,0,1
LU,C45,EW,3,3,274339,5139635,0,0
LU,C45,EW,3,3,273732,5119642,0,0
LU,C45,EW,3,3,246559,5137882,0.5737,1
LU,C45,EW,3,3,284615,5129998,0,1
LU,C45,EW,3,3,242491,5142570,0.6644,1
LU,C45,EW,3,3,270761,5126768,0.03413,1
LU,C45,EW,3,3,271897,5137561,0.008806,1
LU,C85,EW,3,1,266616,5133861,0.1265,0
LU,C85,EW,3,1,274057,5119786,0,0
LU,C85,EW,3,1,270027,5127594,0.05049,0
LU,C85,EW,3,1,274144,5127933,0,0
LU,C85,EW,3,1,279753,5142259,0,1
LU,C85,EW,3,1,268921,5128058,0.07515,1
LU,C85,EW,3,1,280009,5115760,0,1
LU,C85,EW,3,2,274493,5136616,0,0
LU,C85,EW,3,2,239068,5119048,0.7407,1
LU,C85,EW,3,2,270677,5145394,0.036,1
LU,C85,EW,3,2,274689,5137045,0,1
LU,C85,EW,3,2,248370,5135609,0.5333,1
LU,C85,EW,3,3,283456,5127578,0,0
LU,C85,EW,3,3,278334,5141765,0,0
LU,C85,EW,3,3,269944,5121293,0.05234,0
LU,C85,EW,3,3,275320,5126689,0,1
LU,C85,EW,3,3,274041,5119807,0,1
LU,C85,EW,3,3,264250,5134280,0.1793,1
LU,C85,EW,3,3,274596,5137605,0,1
LU,Hist,EW,3,1,258964,5131009,0.2971,0
LU,Hist,EW,3,1,279286,5113996,0,0
LU,Hist,EW,3,1,242025,5134004,0.6747,0
LU,Hist,EW,3,1,271237,5127754,0.02352,1
LU,Hist,EW,3,2,274025,5121030,0,0
LU,Hist,EW,3,2,252055,5137092,0.4511,1
LU,Hist,EW,3,2,273080,5139356,0,1
LU,Hist,EW,3,3,271918,5138234,0.008338,0
LU,Hist,EW,3,3,279106,5142218,0,0
